日期,hs300_close,hs300_ret,hs300_turnover_log,hs300_amplitude,hs300_turnover_rate,csi_close,csi_ret,csi_turnover_log,csi_amplitude,margin_total,douyin_search,turnover_heat_z,turnover_rate_heat_z,price_accel_z,amplitude_heat_z,margin_heat_z,search_heat_z,crowding_z,escape_index_0_100,escape_signal,escape_level
2015-05-06,4553.33,-0.009465197831553862,27.09664362375964,4.11,1.14,6028.22,-0.00950368547138869,27.800285942055712,3.94,18983.300000000003,,0.872,0.298,-0.734,1.685,1.874,,0.729,67.45,0,警惕
2015-05-07,4470.09,-0.01828112612088295,26.780494606436633,1.73,0.9,5912.67,-0.019168178998112295,27.55203293931738,1.9,19060.0,,0.154,-0.329,-1.161,-0.829,1.856,,0.151,53.77,0,相对安全
2015-05-08,4558.4,0.019755754358413258,26.837148649044448,2.54,0.92,6094.72,0.030789812385944026,27.657539549536732,2.58,18817.5,,0.334,-0.295,1.17,0.053,1.778,,0.677,66.3,0,警惕
2015-05-11,4690.53,0.028986047736047738,27.091899593859306,3.42,1.13,6324.11,0.037637496062165265,27.915648987422045,3.61,18896.100000000002,,0.952,0.234,1.51,1.099,1.765,,1.09,74.83,0,警惕
2015-05-12,4747.42,0.012128693345954566,27.131997737427216,1.88,1.14,6440.47,0.018399426954939235,27.998736500101494,2.03,19031.2,,1.076,0.239,0.582,-0.676,1.763,,0.836,69.77,0,警惕
2015-05-13,4718.44,-0.00610436826739591,27.104201344717822,1.67,1.12,6450.72,0.0015914987570782024,28.002462354790197,2.07,19220.7,,1.017,0.163,-0.321,-0.766,1.772,,0.63,65.24,0,警惕
2015-05-14,4700.78,-0.003742762438432967,26.96396976893693,1.38,1.02,6453.7,0.00046196393580855144,27.89762539121473,1.4,19347.899999999998,,0.675,-0.132,-0.348,-1.209,1.769,,0.437,60.75,0,警惕
2015-05-15,4617.47,-0.017722590718986964,26.951175101692794,2.1,1.0,6384.32,-0.010750422238405943,27.84881220802369,2.04,19361.8,,0.568,-0.218,-0.934,-0.388,1.744,,0.324,58.03,0,相对安全
2015-05-18,4575.14,-0.00916735788213019,26.79650189504594,1.26,0.82,6435.07,0.007949162949225652,27.78737488353679,2.03,19549.899999999998,,0.228,-0.755,-0.144,-0.907,1.754,,0.223,55.55,0,相对安全
2015-05-19,4731.22,0.034114803044278386,26.985200476829448,3.55,0.96,6623.79,0.02932679830988638,27.896334896080262,2.72,19840.5,,0.647,-0.376,1.471,0.94,1.783,,0.848,70.01,0,警惕
2015-05-20,4754.92,0.005009278790671257,27.10331425750641,2.07,1.1,6715.71,0.013877251543300773,28.064757651990117,2.51,20147.0,,1.062,0.002,0.324,-0.082,1.813,,0.775,68.45,0,警惕
2015-05-21,4840.98,0.018099147830036966,26.948509388976518,2.01,0.93,6903.76,0.02800150691438441,28.00264929597288,2.5,20338.800000000003,,0.7,-0.54,1.104,-0.126,1.821,,0.694,66.69,0,警惕
2015-05-22,4951.33,0.0227949712661486,27.301307919922593,1.68,1.38,7026.53,0.01778306314240341,28.25521713604073,2.12,20215.0,,1.677,0.811,0.882,-0.574,1.769,,1.194,76.74,1,强警戒
2015-05-25,5099.5,0.029925292800116354,27.352742460353543,3.04,1.41,7202.85,0.025093467187929264,28.269820011439577,3.39,20329.399999999998,,1.738,0.876,1.155,0.986,1.762,,1.372,79.77,1,强警戒
2015-05-26,5198.92,0.019496029022453287,27.410743258922317,2.67,1.48,7409.93,0.028749731009253265,28.33349886362136,2.97,20537.3,,1.887,1.063,0.949,0.441,1.772,,1.386,79.99,1,强警戒
2015-05-27,5181.43,-0.0033641602486670363,27.37976908315386,1.92,1.43,7451.34,0.005588446854423612,28.330545701606408,2.52,20678.600000000002,,1.755,0.874,-0.332,-0.258,1.769,,1.021,73.52,0,警惕
2015-05-28,4834.01,-0.0670509878547042,27.49543889462833,7.37,1.74,6993.6,-0.06143056148290105,28.430080907829097,7.23,20776.199999999997,,2.017,1.789,-2.835,3.0,1.758,,1.047,74.02,0,警惕
2015-05-29,4840.83,0.0014108369655834174,27.178477218775132,5.35,1.3,7047.31,0.007679878746282398,28.164999216066004,6.57,20800.3,,1.03,0.373,0.034,2.08,1.734,,0.92,71.51,0,警惕
2015-06-01,5076.18,0.04861769572573316,27.181359076889642,5.03,1.27,7402.48,0.050397953261599016,28.127842019501415,4.5,21108.699999999997,,0.946,0.249,1.692,1.142,1.761,,1.127,75.53,1,强警戒
2015-06-02,5161.87,0.01688080406920167,27.213158768168615,2.27,1.25,7624.02,0.029927807977867094,28.230752283831322,2.92,21423.4,,1.169,0.149,0.604,-0.249,1.786,,0.874,70.55,0,警惕
2015-06-03,5143.59,-0.00354135226187402,27.23360829916635,2.47,1.26,7643.01,0.002490811933861581,28.259016712544184,2.93,21630.6,,1.241,0.156,-0.413,-0.136,1.791,,0.711,67.06,0,警惕
2015-06-04,5181.42,0.007354785276431519,27.32336851242058,6.43,1.46,7655.22,0.001597538142695143,28.26628177072791,6.41,21774.100000000002,,1.425,0.846,-0.261,2.02,1.783,,1.091,74.85,0,警惕
2015-06-05,5230.55,0.009481956683689008,27.47462973115776,3.55,1.66,7748.37,0.01216816760328232,28.40171451890645,3.23,21736.9,,2.008,1.565,0.047,0.135,1.744,,1.347,79.36,1,强警戒
2015-06-08,5353.75,0.023553928363174048,27.57919927551884,3.21,1.93,7755.74,0.000951167794000618,28.406298596208508,2.18,21792.7,,2.177,2.449,0.161,-0.267,1.722,,1.6,83.21,1,强警戒
2015-06-09,5317.46,-0.00677842633667991,27.493403465415227,2.41,1.73,7731.53,-0.0031215590001727467,28.24760319249353,2.16,21863.4,,1.667,1.663,-0.569,-0.533,1.703,,1.118,75.36,1,强警戒
2015-06-10,5309.11,-0.001570298601211939,27.290654264632025,3.11,1.34,7813.59,0.01061368189737344,28.17863568234207,3.84,22014.0,,1.042,0.183,-0.159,0.156,1.697,,0.711,67.06,0,警惕
